region,admin,year,rock_km2,normal_km2,prog_km2,critical_km2,norm_%,prog_%,critical_%,stid1,stid2,stid3,stid4,stid5,stid6,stid7,stid8,stid9
West,부안군,2020,7.72966,7.47458,0.10628,0.1488,96.7,1.4,1.9,,,,,,,,,
West,보령시,2020,12.54417,12.35852,0.09669,0.08896,98.5,0.8,0.7,,,,,,,,,
West,서산시,2020,0.70685,0.70059,0.00326,0.003,99.1,0.5,0.4,CC2202,CC2205,,,,,,,
West,당진시,2020,0.53488,0.52796,0.00361,0.00332,98.7,0.7,0.6,CC2201,,,,,,,,
West,서천군,2020,3.00025,2.97282,0.01429,0.01314,99.1,0.5,0.4,,,,,,,,,
West,홍성군,2020,0.21526,0.21411,0.0006,0.00055,99.5,0.3,0.3,,,,,,,,,
West,태안군,2020,17.45027,16.69044,0.39575,0.36409,95.6,2.3,2.1,CC2206,CC2209,CC2210,,,,,,
Jeju,Hangyung,2021,10.548,6.098,2.111,2.339,57.8,20,22.2,CJ2617,CJ2619,,,,,,,
Jeju,Hallim,2021,14.782,9.128,2.298,3.356,61.8,15.5,22.7,CJ2618,,,,,,,,
Jeju,Aewol,2021,8.817,5.146,1.518,2.153,58.4,17.2,24.4,CJ2602,CJ2618,,,,,,,
Jeju,Jeju,2021,17.388,9.747,3.173,4.468,56.1,18.2,25.7,CJ2601,CJ2603,,,,,,,
Jeju,Jocheon,2021,8.484,4.944,1.52,2.02,58.3,17.9,23.8,CJ2606,,,,,,,,
Jeju,Gujwa,2021,29.274,19.814,4.847,4.613,67.7,16.6,15.7,CJ2605,CJ2604,,,,,,,
Jeju,Sungsan,2021,16.229,10.633,2.373,3.223,65.5,14.6,19.9,CJ2607,CJ2608,CJ2610,,,,,,
Jeju,Pyosun,2021,7.348,4.132,1.462,1.754,56.2,19.9,23.9,CJ2610,CJ2609,,,,,,,
Jeju,Namwon,2021,14.074,7.827,3.536,2.711,55.6,25.1,19.3,CJ2609,CJ2611,,,,,,,
Jeju,Seoguipo,2021,15.979,8.997,3.257,3.725,56.3,20.4,23.3,CJ2613,,,,,,,,
Jeju,Anduk,2021,5.673,3.375,1.105,1.193,59.5,19.5,21,CJ2615,,,,,,,,
Jeju,Daejung,2021,15.428,9.342,1.888,4.198,60.6,12.2,27.2,CJ2614,CJ2616,,,,,,,
East,Sokcho,2022,4.055,1.832,1.527,0.696,45.2,37.6,17.2,CE2542,CE2543,CE2544,,,,,,
East,YangYang,2022,4.403,2.23,1.347,0.826,50.6,30.6,18.8,CE2539,CE2538,CE2541,CE2540,CE2545,,,,
East,Gangneung,2022,10.427,5.339,3.254,1.834,51.2,31.2,17.6,CE2530,CE2531,CE2527,CE2529,CE2537,CE2533,CE2534,CE2535,CE2536
East,Donghae,2022,7.211,3.804,2.143,1.264,52.8,29.7,17.5,CE2523,CE2524,CE2522,CE2525,,,,,
East,Samchuk,2022,7.005,3.795,1.913,1.297,54.2,27.3,18.5,CE2521,CE2518,CE2520,CE2519,,,,,
East,Uljin,2022,10.559,4.933,2.693,2.933,46.7,25.5,27.8,CE2510,CE2511,CE2515,CE2514,CE2512,CE2513,CE2517,CE2516,
East,Youngduk,2022,7.675,3.332,2.156,2.187,43.4,28.1,28.5,CE2505,CE2504,CE2507,CE2506,CE2508,,,,
East,Pohang,2022,45.563,19.686,17.051,8.826,43.2,37.4,19.4,CE2504,CE2505,CE2503,CE2502,CE2501,,,,
East,Gyungju,2022,8.391,4.429,2.595,1.367,52.8,30.9,16.3,CE2441,CE2442,CE2443,CE2444,,,,,
East,Ulsan,2022,20.861,10.619,6.856,3.386,50.9,32.9,16.2,CE2440,,,,,,,,
South,Geoje,2022,7.459,6.109,0.927,0.423,81.9,12.4,5.7,CK2425,CK2430,CK2432,,,,,,
South,Tongyoung,2022,12.828,10.895,1.256,0.677,84.9,9.8,5.3,CK2423,CK2423,CK2420,CK2418,CK2426,CK2427,CK2421,,
South,Gosung,2022,2.522,2.347,0.126,0.049,93.1,5,1.9,CK2409,CK2411,CK2413,,,,,,
South,Namhae,2022,5.632,4.539,0.986,0.107,80.6,17.5,1.9,CK2406,CK2408,,,,,,,
South,Yeosu,2022,20.545,17.162,2.226,1.157,83.5,10.8,5.7,CK2402,CK2407,,,,,,,
South,Gohung,2022,10.24,9.437,0.637,0.166,92.2,6.2,1.6,CW2318,CW2322,CW2323,CW2324,CW2325,,,,
South,Gangjin,2022,0.111,0.102,0.007,0.002,91.9,6.3,1.8,CW2312,,,,,,,,
South,Wando,2022,23.555,21.111,1.689,0.755,89.6,7.2,3.2,CW2314,CW2313,CW2315,CW2317,,,,,
West,Jawoldo,0.232,0.221,0.007,0.004,95.4,2.9,1.7,,,,,,,,,,
West,Dukjukdo1,0.378,0.352,0.013,0.013,93.1,3.6,3.3,,,,,,,,,,
West,Dukjukdo2,0.111,0.099,0.007,0.004,89.4,6.7,3.9,,,,,,,,,,
West,Taean1,0.542,0.497,0.025,0.02,91.7,4.7,3.6,,,,,,,,,,
West,Taean2,0.373,0.346,0.018,0.01,92.6,4.8,2.6,,,,,,,,,,
West,Gaeuido,0.358,0.333,0.016,0.009,93,4.4,2.6,,,,,,,,,,
West,Baegado1,0.103,0.091,0.007,0.005,88.5,6.5,5,,,,,,,,,,
West,Baegado2,0.108,0.097,0.007,0.003,90.2,6.8,3,,,,,,,,,,
West,Sunyudo,0.139,0.124,0.009,0.006,89.2,6.7,4.1,,,,,,,,,,
West,Sansido,0.403,0.367,0.019,0.017,91.1,4.6,4.3,,,,,,,,,,
West,Hodo,0.264,0.252,0.007,0.005,95.4,2.6,2,,,,,,,,,,
West,Uhchungdo,0.549,0.508,0.023,0.017,92.6,4.2,3.2,,,,,,,,,,
West,Waeyundo1,0.179,0.167,0.008,0.004,93.6,4.2,2.2,,,,,,,,,,
West,Waeyundo2,0.144,0.137,0.004,0.003,95.4,2.7,1.9,,,,,,,,,,
West,Nokdo,0.137,0.122,0.01,0.005,89.1,7,3.9,,,,,,,,,,
West,Gwallido,0.139,0.128,0.005,0.006,92.3,3.5,4.2,,,,,,,,,,
West,Byunsanbando,0.469,0.43,0.02,0.019,91.7,4.2,4.1,,,,,,,,,,
West,Wuido1,0.159,0.15,0.006,0.003,94.4,4,1.6,,,,,,,,,,
West,Wuido2,0.272,0.247,0.012,0.013,90.9,4.5,4.6,,,,,,,,,,
West,Myungdo,0.272,0.248,0.015,0.009,91.3,5.6,3.1,,,,,,,,,,
West,Anmado1,0.105,0.093,0.009,0.004,88.4,8.2,3.4,,,,,,,,,,
West,Anmado2,0.214,0.191,0.01,0.014,89.2,4.5,6.3,,,,,,,,,,
West,Songeedo,0.147,0.136,0.005,0.005,92.6,3.7,3.7,,,,,,,,,,
West,Seoguchado,0.102,0.092,0.006,0.004,90.3,5.9,3.8,,,,,,,,,,
West,Bigumdo,0.074,0.068,0.004,0.003,91,5,4,,,,,,,,,,
West,Dochodo,0.092,0.083,0.007,0.003,90.1,7.1,2.8,,,,,,,,,,
West,Sangjodo,0.071,0.064,0.004,0.003,90.2,5.4,4.4,,,,,,,,,,
West,Hajodo,0.122,0.112,0.005,0.005,91.7,4.2,4.1,,,,,,,,,,
West,Huksando1,0.232,0.206,0.013,0.012,88.9,5.8,5.3,,,,,,,,,,
West,Huksando2,0.22,0.191,0.013,0.016,86.9,5.8,7.3,,,,,,,,,,
West,Hongdo1,0.337,0.312,0.016,0.009,92.7,4.6,2.7,,,,,,,,,,
West,Hongdo2,0.264,0.237,0.017,0.01,89.9,6.5,3.6,,,,,,,,,,
West,Gagoedo1,0.166,0.157,0.002,0.008,94.1,1.2,4.7,,,,,,,,,,
West,Gagoedo2,0.091,0.084,0.004,0.003,92.4,4.2,3.4,,,,,,,,,,
Jeju,Hangyung,2023,10.5,5.9,2.3,2.3,56.5,21.8,21.7,CJ2617,CJ2619,,,,,,,
