region,admin,stid,year,month,date,depth,sechi,temp_b,salinity_b,pH_b,DO_b,COD_b,NH3-N_b,NO2-_b,NO3-_b,DIN_b,TN_b,DIP_b,TP_b,SAS_b,SS_b,Chla_b
East,Sokcho,CE2543,2015,2,2015-02-03,23,13,5.32,34.05,8.1,10.4,0.48,12.2,2.4,69.7,84.4,304.8,12,22.8,251.2,1.9,0.45
East,Sokcho,CE2543,2015,5,2015-05-07,20,8,4.25,33.94,8.1,11.28,0.66,3.8,1.5,32.9,38.2,243.4,7.3,18.1,176,1.3,1.78
East,Sokcho,CE2543,2015,8,2015-08-04,27,12,11.64,33.6,8.17,11.12,0.41,8.7,0.4,1.2,10.2,217,2.5,11.5,71.2,2.9,0.25
East,Sokcho,CE2543,2015,11,2015-11-16,21,6,13.97,33.46,8.2,7.41,0.76,14.1,1.6,13.6,29.3,194.4,4.2,11,99.6,3,0.19
East,Sokcho,CE2543,2016,2,2016-02-26,19,8,4.75,33.8,8.25,11.28,0.88,8.6,1.8,55,65.4,213.1,5.9,16.2,174,9.8,1.02
East,Sokcho,CE2543,2016,5,2016-05-19,21,10.1,11.47,33.94,7.96,9.88,0.84,1.9,1.6,1.8,5.2,154.3,3,13.6,66.6,3.8,0.85
East,Sokcho,CE2543,2016,8,2016-08-06,20,10.8,12.82,33.22,7.97,9.28,0.78,15.5,0.9,2.6,19,119.2,1.5,11,60.3,4.5,0.85
East,Sokcho,CE2543,2016,11,2016-11-29,23,6.5,11.75,33.1,8.28,8.69,0.94,6,1,5.5,12.6,165.6,3.6,13.1,25.5,9.7,2.46
East,Sokcho,CE2543,2017,2,2017-02-19,23,13,10.31,34.3,8.22,9.18,1.16,2.72,1.88,57.11,61.7,138.57,9.27,18.88,201.82,9.55,0.53
East,Sokcho,CE2543,2017,5,2017-05-12,21,7.5,3.75,34.07,8,8.39,0.77,0.85,3.47,181.43,185.75,283.8,31,35.9,486.08,1.9,1
East,Sokcho,CE2543,2017,8,2017-08-20,24,9.5,21.73,33.27,8.15,6.98,1.07,0.73,0.38,2.94,4.05,159.41,1.27,12.29,181.69,6.9,0.77
East,Sokcho,CE2543,2017,11,2017-11-24,12,8,14.17,33.74,8.23,8.08,0.45,9.36,7.7,52.98,70.04,157.44,16.9,17.67,289.8,7.55,0.58
East,Sokcho,CE2543,2018,2,2018-02-08,21,13.3,6.05,34.19,8.2,9.89,0.79,7.76,2.83,103.07,113.65,212.88,18.79,23.44,266.11,11.25,0.04
East,Sokcho,CE2543,2018,5,2018-05-05,21,8.6,11.4,34.16,8.25,9.34,1.32,11.21,0.57,22.93,34.71,128.16,3.84,14.2,101.08,5,1.17
East,Sokcho,CE2543,2018,8,2018-08-09,18,5.1,14.78,33.69,8.28,9.7,1.36,7.83,0.4,2.2,10.43,75.54,0.02,8.59,40.77,5.4,0.57
East,Sokcho,CE2543,2018,11,2018-11-05,20,9,8.58,33.89,8.1,7.43,0.54,9.8,6.2,127.64,143.64,214.38,22.6,29.95,398.72,0.73,0.86
East,Sokcho,CE2543,2019,2,2019-02-17,19,11.5,6.46,34.15,8.18,9.27,1.72,5.7,3.5,95.59,104.79,214.84,19.62,28.4,366.72,3.3,0.5
East,Sokcho,CE2543,2019,5,2019-05-02,22,6.6,4.57,34.09,7.95,6.97,1.17,40.01,2.25,168.6,210.87,332.21,33.88,39.84,510.86,3.5,1.1
East,Sokcho,CE2543,2019,8,2019-08-09,20,11.5,15.3,33.99,8.14,8.09,1.36,13.52,1.83,20.52,35.88,125.82,7.04,15.72,294.59,6.1,0.71
East,Sokcho,CE2543,2019,11,2019-11-11,21,9,17.81,33.37,8.15,8.09,1.19,4.24,3.99,21.32,29.55,139.89,5.49,13.39,194.96,3.05,1.06
East,Sokcho,CE2543,2020,2,2020-02-10,18,12.9,10.99,34.25,8.21,8.86,1.3,2.46,4.26,95.87,102.59,190.67,15.44,25.92,336,1.3,1.05
East,Sokcho,CE2543,2020,5,2020-05-25,22,5.5,13.54,34.05,8.13,8.77,0.94,3.46,2.3,37.81,43.57,144.48,7.01,19.81,211.71,5.25,2.64
East,Sokcho,CE2543,2020,8,2020-08-14,18.5,7.7,18.95,33.38,8.12,9.02,1.22,8.01,0.46,4.31,12.78,53.79,1.64,11.35,148.12,2.85,0.79
East,Sokcho,CE2543,2020,11,2020-11-26,22,8.5,14.91,33.36,8.29,8.67,1.1,3.72,0.85,7.15,11.73,147.45,0.47,12.37,37.32,3.45,4.04
East,Sokcho,CE2543,2021,2,2021-02-06,24,14,6.78,34.05,8.22,10,1.04,0.27,3.29,101.01,104.57,170.52,14.57,21.79,276.33,4.4,0.54
East,Sokcho,CE2543,2021,5,2021-05-12,23,6.5,8.91,34.23,8.34,9.08,0.7,5.6,2.5,70.4,78.6,229.1,12.2,31,199.3,9.6,4.8
East,Sokcho,CE2543,2021,8,2021-08-07,25,13,11.3,34.15,8.14,10.21,1.95,36.7,0.2,2,38.9,106.26,4.9,11.69,63.42,17.6,0.49
East,Sokcho,CE2543,2021,11,2021-11-16,19,8.5,11.51,33.87,8.14,6.92,1,17,3.39,47.64,68.03,141.39,8.8,15.87,247.1,3.25,1.69
East,Sokcho,CE2543,2022,2,2022-03-01,24,10,4.17,33.99,8.17,10.35,2.97,14.2,2.4,85.6,102.1,174,14.9,24.4,179,3.7,0.4
East,Sokcho,CE2543,2022,5,2022-05-23,22,8,8.68,34.08,8.1,9.27,3,8.2,1.4,62.8,72.4,178.6,10.4,31.8,166,4.9,1.18
East,Sokcho,CE2543,2022,8,2022-08-12,21,10.7,15.47,33.36,8.09,7.6,1.01,13.4,1,5.1,19.4,171.6,4.8,15.9,154.1,4.2,0.5
East,Sokcho,CE2543,2022,11,2022-11-18,23,9,16,33.8,8.16,7.75,1.4,12.5,2.7,33.4,48.6,142,7.7,16.1,118.3,4.3,1.3
East,Sokcho,CE2543,2023,2,2023-02-19,21,13.5,5,33.97,8.18,9.42,0.89,11.89,3.49,118.64,134.01,198.86,21.33,26.6,340.4,9.15,0.29
East,Sokcho,CE2543,2023,5,2023-05-15,23,8.5,7.65,34.07,8.22,9.42,1.69,10.47,0.97,54.31,65.74,151.69,11.41,20.06,196.48,3.7,1.42
East,Sokcho,CE2543,2023,8,2023-08-05,23,12,14.95,33.26,8.02,9.2,2.27,6.59,0.1,1.37,8.06,122.49,2.02,12.34,106.2,4,0.74
East,Sokcho,CE2543,2023,11,2023-11-16,20,12,13.99,33.33,8.22,8.86,2.08,8.69,0.81,12.31,21.81,166.73,2.7,9.24,194.49,5.05,1.27
East,Sokcho,CE2543,2024,2,2024-02-28,25,8.5,4.03,33.76,8.09,10.32,0.81,6.29,2.79,101.25,110.32,173.64,16.65,21.14,285.85,4.35,0.99
East,Sokcho,CE2543,2024,5,2024-05-26,24,9,5.41,34,8,10.3,1.56,20.5,3.08,135.49,159.07,234.44,27.44,32.36,320.68,4.9,2.02
East,Sokcho,CE2543,2024,8,2024-08-23,19,10,17.48,33.23,8.1,9.83,2.13,3.3,0.11,1.74,5.15,99.48,1.36,8.62,70.14,5.1,0.81
East,Sokcho,CE2543,2024,11,2024-11-15,19,6.5,17.56,32.98,8.13,8.02,1.01,11.06,7.85,37.93,56.84,132.51,8.53,13.11,250.57,10.7,0.58
Jeju,Gujwa,CJ2604,2014,2,2014-02-05,15,8.3,14.22,34.44,8.2,8.32,0.5,0.7,2.4,43.4,46.5,241,13.3,17,267.5,44,0.23
Jeju,Gujwa,CJ2604,2014,5,2014-05-29,14,9,18.24,33.88,8.18,8.2,0.65,28.5,0.9,7.6,37,174.3,4.2,9.8,170.1,6,0.83
Jeju,Gujwa,CJ2604,2014,8,2014-08-13,17,7,20.77,32.88,8.19,7.6,1.03,4.8,1.2,53.9,59.9,271.8,4.8,10.3,302.5,14,0.52
Jeju,Gujwa,CJ2604,2014,11,2014-11-19,16,8,17.7,32.6,8.17,8.53,0.55,3.7,4.8,38.9,47.5,244.4,2.8,10.4,218.4,8.4,1.48
Jeju,Gujwa,CJ2604,2015,2,2015-02-10,20,6,13.87,34.39,8.19,8.54,0.41,11.7,3.8,87.4,102.8,246.5,11.2,16.9,259.3,3.3,0.9
Jeju,Gujwa,CJ2604,2015,5,2015-05-27,14.6,6.8,16.69,33.27,8.22,7.94,1.05,13.6,0.2,7.8,21.6,177.5,2.6,13.4,276.4,3.6,2.47
Jeju,Gujwa,CJ2604,2015,8,2015-08-20,18,7,21.78,32.75,8.16,7.35,0.99,29.2,2.1,29.2,60.5,156.7,2.8,8.4,192.4,5,1.56
Jeju,Gujwa,CJ2604,2015,11,2015-11-04,17,7.5,19.47,32.56,8.17,7.15,0.91,35.4,2.2,45.8,83.5,234.6,5,10.1,239.3,0.7,0.96
Jeju,Gujwa,CJ2604,2016,2,2016-02-25,13,7.5,13.26,34.26,8.26,8.93,0.69,2.1,1.7,62,65.8,280.8,7.5,15.2,199.7,3.8,0.28
Jeju,Gujwa,CJ2604,2016,5,2016-05-11,18,7.5,16.19,34.24,8.2,9.43,0.85,6.5,1.6,8.5,16.7,155.2,1.3,13.5,206.5,3.9,1.22
Jeju,Gujwa,CJ2604,2016,8,2016-08-18,15,6,20.97,31.32,8.19,7.27,1,19.6,1,50.7,71.3,195.2,3.6,15.2,241.6,3.9,0.68
Jeju,Gujwa,CJ2604,2016,11,2016-11-10,13,7,19.57,33.9,8.25,7.3,0.49,17.9,4,74.3,96.2,175.4,8.7,14.6,262.8,2.3,1.46
Jeju,Gujwa,CJ2604,2017,2,2017-02-26,13,6.5,14,34.61,8.17,9.33,0.76,3.04,2.28,66.56,71.88,167.45,9.61,14.6,242.9,2.6,0.03
Jeju,Gujwa,CJ2604,2017,5,2017-05-14,15,15,15.42,33.7,8.22,9.28,0.91,0.27,2.8,30.48,33.55,124.3,4.59,12.2,168.53,0.75,0.1
Jeju,Gujwa,CJ2604,2017,8,2017-08-17,16,16,26.97,30.58,8.28,6.68,1.39,1.46,9.18,17.98,28.62,129.78,15.44,16.29,151.79,1.4,0.15
Jeju,Gujwa,CJ2604,2017,11,2017-11-01,17,12,20.63,33.59,8.14,8.48,1.03,4.68,2.09,40.77,47.53,119.94,12.4,13.96,243.6,1.1,0.44
Jeju,Gujwa,CJ2604,2018,2,2018-02-25,16.3,13,13.55,34.48,8.36,8.94,0.82,5.12,34.73,63.71,103.57,123.16,17.64,21.18,243.4,5.45,0.39
Jeju,Gujwa,CJ2604,2018,5,2018-05-11,14,8.8,16.15,34.33,8.36,8.54,1.17,8.86,3.49,32.49,44.84,154.73,7.32,21.58,202.5,9.2,0.65
Jeju,Gujwa,CJ2604,2018,8,2018-08-30,16,7.8,20.34,32.78,8.27,6.82,1.77,5.01,3.6,40.4,49.01,167.85,4.4,15.1,206.75,3.26,0.04
Jeju,Gujwa,CJ2604,2018,11,2018-11-15,13,7,19.1,33.73,7.79,8.64,0.87,10.26,6.48,56.06,72.8,155.19,10.32,16.9,194.46,4.58,0.16
Jeju,Gujwa,CJ2604,2019,2,2019-02-27,16,7.5,14.66,34.39,8.19,9.31,1.68,8.64,2.9,57.04,68.57,139.64,10.23,16.37,204.18,4,0.23
Jeju,Gujwa,CJ2604,2019,5,2019-05-08,15,8.8,16.57,34.32,8.25,11.42,1.14,2.67,2.25,15.9,20.83,134.53,4.59,15.16,189.36,12,0.09
Jeju,Gujwa,CJ2604,2019,8,2019-08-13,15,12.6,26.24,31.46,8.2,7.02,2.12,3.63,2.13,2.06,7.82,116.12,3.75,13.45,274.57,9.5,0.19
Jeju,Gujwa,CJ2604,2019,11,2019-11-05,19,9.3,20.69,33.57,8.16,7.9,1.31,11.4,4.1,42.42,57.92,143.93,6.17,9.77,189.76,1.7,1.67
Jeju,Gujwa,CJ2604,2020,2,2020-02-19,16,6.5,15.28,34.49,8.28,8.67,2.09,3.26,4.23,68.98,76.47,128.73,10.66,14.63,241.86,21.55,0.5
Jeju,Gujwa,CJ2604,2020,5,2020-05-18,18,10,16.09,33.52,8.37,8.31,1.69,1.12,2.95,20.5,24.57,138.8,3.81,13.21,159.18,3.35,0.61
Jeju,Gujwa,CJ2604,2020,8,2020-08-19,14,13.2,23.8,32.67,8.42,6.86,2.23,3.36,0.59,10.96,14.91,140,0.01,10.11,210.56,4.8,0.22
Jeju,Gujwa,CJ2604,2020,11,2020-11-09,17,9.5,18.32,32.44,8.35,8.37,1.79,6.36,2.3,20.38,29.04,154.2,10.6,11.56,146.52,8.35,1.51
Jeju,Gujwa,CJ2604,2021,2,2021-02-14,16.3,9,14.75,34.63,8.27,8.41,0.8,4.79,3.18,44.49,52.46,106.95,8.46,14.26,285.43,18.5,1.38
Jeju,Gujwa,CJ2604,2021,5,2021-05-30,18,9,17.91,34.32,8.24,8.5,0.75,20,1.3,8.4,29.7,141.7,1.4,11.5,132.5,35.4,1.82
Jeju,Gujwa,CJ2604,2021,8,2021-08-31,18,9,21.67,32.67,8.14,8.39,2.2,5.3,5,69,79.3,174.2,7.84,19.81,192.53,22.7,1.13
Jeju,Gujwa,CJ2604,2021,11,2021-11-18,17.5,10,18.03,33.65,8.1,8.27,0.29,15.22,4.72,62.64,82.57,196.56,11.1,23.41,226.16,20.35,0.66
Jeju,Gujwa,CJ2604,2022,2,2022-02-26,15,12,13.2,34.28,8.22,8.49,2.16,4.3,3.2,29.3,36.8,158.3,13.1,19.7,257.2,3.3,0.38
Jeju,Gujwa,CJ2604,2022,5,2022-05-17,8,5.5,17.85,34.14,8.21,8.86,3.06,0.1,1.2,26,27.4,188.9,0.6,15,226.5,6.6,1.42
Jeju,Gujwa,CJ2604,2022,8,2022-08-17,12,10,27.33,29.97,8.23,6.11,1.87,18,1.1,17,36,156,2.5,8.8,229.5,3.1,0.32
Jeju,Gujwa,CJ2604,2022,11,2022-11-09,18,13,19.16,33.79,7.79,7,1.61,6.9,4.7,72.5,84.1,186.7,12,19.7,273.8,8.3,0.61
Jeju,Gujwa,CJ2604,2023,2,2023-02-18,18,13,13.96,34.43,8.2,8.52,1.51,5.25,4.61,90.65,100.51,177.84,14.01,19.69,277.68,19.5,0.12
Jeju,Gujwa,CJ2604,2023,5,2023-05-24,20,8,17.7,33.96,8.19,9.52,1.53,6.83,1.18,12.28,20.29,96.75,3.63,13.36,184.52,7.15,1.55
Jeju,Gujwa,CJ2604,2023,8,2023-08-14,19,7.1,26.64,31.73,7.92,6.41,1.16,5.85,1.34,15.78,22.97,133.27,1.67,12.46,136.75,6.1,0.61
Jeju,Gujwa,CJ2604,2023,11,2023-11-21,11,10.5,18.4,33.49,8.11,7.2,1.03,9.72,7.56,68.54,85.82,151.49,10.17,17.55,291.48,6.5,0.39
Jeju,Gujwa,CJ2604,2024,3,2024-03-04,14.6,8,14.4,34.39,8.19,8.61,0.66,9.91,4.31,110.33,124.56,164.35,13.45,17.92,311.95,11.8,1.45
Jeju,Gujwa,CJ2604,2024,5,2024-05-09,12,9,17.14,34.14,8.22,8.18,1.14,9.45,1.65,34.73,45.84,162.08,4.46,21.24,226.38,15.3,0.44
Jeju,Gujwa,CJ2604,2024,8,2024-08-16,17.8,5.5,26.45,30.09,8.21,4.98,0.93,24.11,1.51,50.68,76.3,156.79,2.2,9.83,166.99,4.1,0.58
Jeju,Gujwa,CJ2604,2024,11,2024-11-20,18,8,20.62,33.9,8.17,8.63,0.57,6.78,5.52,51.16,63.45,121.8,8.9,11.78,191.94,10.2,0.41
Jeju,Daejung,CJ2614,2014,2,2014-02-06,20,7.5,14.89,34.42,8.13,8.64,0.65,1.1,2.5,73.1,76.6,214.2,12.3,18.3,247.4,27,0.61
Jeju,Daejung,CJ2614,2014,5,2014-05-29,18,8.5,17.08,34.3,8.16,7.72,0.29,2.6,2.7,34.6,40,230.6,5.7,13.7,221.5,12.6,0.65
Jeju,Daejung,CJ2614,2014,8,2014-08-13,19,6.5,22.36,33.22,8.19,7.3,0.75,3.5,0.5,41.6,45.7,177.7,4.4,8.7,237.4,8,0.05
Jeju,Daejung,CJ2614,2014,11,2014-11-19,18,11,19.43,34.09,8.15,7.67,1.25,4.8,3.5,36.1,44.3,163.5,4.4,10.7,149.1,9.2,0.64
Jeju,Daejung,CJ2614,2015,2,2015-02-11,20,8,13.94,34.19,8.23,8.09,0.48,4.3,2.4,93.1,99.8,199.6,11.3,19.3,288.3,5.2,0.47
Jeju,Daejung,CJ2614,2015,5,2015-05-27,19.3,6.2,16.57,33.47,8.24,7.57,0.78,16.4,0.9,29.9,47.2,164.8,3.6,9.7,289.7,2.8,1.57
Jeju,Daejung,CJ2614,2015,8,2015-08-20,18,15,23.81,32.47,8.14,6.43,0.89,4.1,1.4,85.1,90.5,212.5,4.9,11.6,263.3,0.5,0.42
Jeju,Daejung,CJ2614,2015,11,2015-11-04,19,10.5,21.42,33.53,8.16,7,0.79,18.4,2.8,39.1,60.4,237.2,5.3,7.9,134.3,1.4,0.44
Jeju,Daejung,CJ2614,2016,2,2016-02-25,17,10.5,14.26,34.52,8.28,8.58,1.73,14.2,3.4,62.4,80,273.5,16.7,17,184.2,5,0.42
Jeju,Daejung,CJ2614,2016,5,2016-05-11,20,10.5,16.48,34.37,8.23,8.22,0.51,24.8,2.9,52.9,80.6,171.7,4.5,9.8,217,7.9,0.13
Jeju,Daejung,CJ2614,2016,8,2016-08-18,20,8,22.55,31,8.28,7.42,0.58,7.7,0.9,69.5,78.1,175,6.5,12.5,242.3,5.5,0.27
Jeju,Daejung,CJ2614,2016,11,2016-11-10,19,12,21.58,34.19,8.29,7.47,0.7,8.4,1.8,24.8,35.1,130.8,3.3,9.5,121.5,2.2,1.17
Jeju,Daejung,CJ2614,2017,2,2017-02-26,21,9.2,15.39,34.66,8.16,8.63,1.18,24.75,3.63,54.08,82.46,154.25,10.85,13.39,195.47,3.3,0.02
Jeju,Daejung,CJ2614,2017,5,2017-05-14,18,11,16.11,34.3,8.2,9.07,1.01,0.21,3.42,50.46,54.08,122.1,7.32,14,203.14,2.65,0.24
Jeju,Daejung,CJ2614,2017,8,2017-08-17,20,20,21.18,32.71,8.16,6.33,1.36,1.14,1.62,32.66,35.43,151.93,12.8,14.13,163.32,2.5,0.06
Jeju,Daejung,CJ2614,2017,11,2017-11-01,20,16.2,22.62,34.12,8.17,7.68,3.01,3.72,0.43,4.02,8.18,126.28,12.06,13.63,104.83,1.85,0.28
Jeju,Daejung,CJ2614,2018,2,2018-02-25,19,10,14.03,34.43,8.24,8.74,1.01,1.74,4.24,57.57,63.55,152.14,17.36,23.46,230.78,3.65,0.28
Jeju,Daejung,CJ2614,2018,5,2018-05-11,19,10,16.29,34.15,8.31,8.44,1.7,4.19,2.23,52.51,58.93,139.45,1.83,15.72,206.19,10.9,0.58
Jeju,Daejung,CJ2614,2018,8,2018-08-30,7,6.2,20.87,33.02,8.2,7.08,1.42,5.03,0.5,3.3,8.83,205.23,0.6,14.6,87.11,0.11,4.8
Jeju,Daejung,CJ2614,2018,11,2018-11-15,18,10,20.97,33.97,7.74,7.79,1,5.35,6.36,27.16,38.86,125.41,3.75,14.48,136.53,2.89,0.13
Jeju,Daejung,CJ2614,2019,2,2019-02-27,20,9.8,15.42,34.31,8.15,9.23,2.35,3.65,2.58,55.36,61.59,127.04,9.89,16.59,191.77,1.95,0.22
Jeju,Daejung,CJ2614,2019,5,2019-05-08,18,11.2,16.33,34.34,8.23,10.69,0.53,6.03,2.8,40.11,48.94,158.33,7.1,17.55,179.9,12.6,0.07
Jeju,Daejung,CJ2614,2019,8,2019-08-13,20,7.2,23.36,32.17,8.15,7.46,3.05,0.36,2.62,3.67,6.65,167.16,6.7,13.92,295.9,7.55,0.26
Jeju,Daejung,CJ2614,2019,11,2019-11-05,19,10.4,22.6,34.1,8.21,7.65,0.73,13.4,1.33,20.51,35.24,142.18,4.15,9.67,122.16,1.75,0.48
Jeju,Daejung,CJ2614,2020,2,2020-02-19,20,9.5,15.12,34.5,8.31,8.25,0.49,1.25,3.95,58.76,63.95,154.99,9.3,11.97,196.95,16.75,0.21
Jeju,Daejung,CJ2614,2020,5,2020-05-18,20,6,16.82,33.9,8.4,8.57,1.17,6.64,1.09,12.33,20.06,115.88,1.95,14.66,147.87,3.85,2.72
Jeju,Daejung,CJ2614,2020,8,2020-08-19,18,13.7,25.22,32.48,8.37,6.99,1.62,2.6,0.49,16.51,19.6,165.58,0.12,21.92,219.46,1.4,2.5
Jeju,Daejung,CJ2614,2020,11,2020-11-09,19,7.2,21,34.29,8.34,5.15,1.24,5.57,1.82,30.13,37.52,112.04,10.01,11.87,134.76,4.6,0.95
Jeju,Daejung,CJ2614,2021,2,2021-02-24,19.6,15,15.23,34.69,8.16,9.01,0.55,100.97,4.16,47.29,152.42,433.69,9.8,12.77,164.95,33.15,0.36
Jeju,Daejung,CJ2614,2021,5,2021-05-30,19,9,17.7,34.38,8.15,8.66,0.83,0.6,2.6,43.1,46.4,169.8,5.5,16.2,221.7,24.1,0.08
Jeju,Daejung,CJ2614,2021,8,2021-08-30,19,13,21.79,32.3,8.14,9,1.49,6,3.1,78.6,87.7,185.63,8.59,16.96,249.68,41.95,0.03
Jeju,Daejung,CJ2614,2021,11,2021-11-20,20,9,19.73,34.2,8.11,8.16,0.35,14.69,2.93,63.77,81.38,107.7,11.72,14.85,187.15,20.15,0.76
Jeju,Daejung,CJ2614,2022,2,2022-02-25,20,11,13.78,34.33,8.19,8.39,2.49,1.1,2.6,30.9,34.7,170.4,12.9,19.4,222.9,6.2,0.32
Jeju,Daejung,CJ2614,2022,5,2022-05-18,16,11,17.44,34.24,8.16,7.36,3.1,21.8,1.3,43,66.1,96.8,5,10.7,227.2,9.9,0.53
Jeju,Daejung,CJ2614,2022,8,2022-08-18,16,10,25.01,31.32,8.2,6.64,0.99,8.9,2.2,33.3,44.5,196.1,3.6,10.4,227.7,57.3,0.76
Jeju,Daejung,CJ2614,2022,11,2022-11-08,14,12,21.63,34,8.11,6.75,1.65,5.2,1.7,12.9,19.8,123.2,3.9,12.8,117.5,7.3,1.15
Jeju,Daejung,CJ2614,2023,2,2023-02-17,18,12,14.63,34.41,8.38,8.55,0.99,8.92,5.4,66.61,80.93,152.32,13.21,18.32,234.42,21.1,0.16
Jeju,Daejung,CJ2614,2023,5,2023-05-23,17,7.5,17.68,34.23,8.21,8.29,1.65,2.87,1.62,50.11,54.6,138.57,8.22,15.13,258.5,28.55,0.86
Jeju,Daejung,CJ2614,2023,8,2023-08-15,19,11.2,27.91,32.07,7.74,6.13,1.29,4.37,1.41,15.53,21.31,117.04,1.18,11.13,141.26,2.15,0.26
Jeju,Daejung,CJ2614,2023,11,2023-11-20,18,8,21.28,34.24,8.18,7.2,0.57,4.05,2.06,23.55,29.65,94.78,4.03,13.49,169.4,6.6,0.43
Jeju,Daejung,CJ2614,2024,2,2024-02-28,17.6,10,14.51,34.31,8.22,8.47,1.23,5.49,4.07,83.17,92.74,204.97,13.11,16.99,271.29,7.7,0.52
Jeju,Daejung,CJ2614,2024,5,2024-05-09,18,8,17.04,34.3,8.17,7.58,1.39,2.31,1.72,48.3,52.33,113.29,7.35,15.44,209.64,17.5,0.45
Jeju,Daejung,CJ2614,2024,8,2024-08-15,19,8,27.26,30.39,8.2,7.19,0.91,6.94,1.23,45.6,53.77,164.39,1.15,10.11,154.78,5.9,0.31
Jeju,Daejung,CJ2614,2024,11,2024-11-20,21.5,8.5,22,33.96,8.13,8.65,1.46,5.47,1.36,18.63,25.47,114.52,3.44,9.7,76.52,15.7,0.6
Jeju,Sungsanpo,CJ2607,2014,2,2014-02-05,23,8.8,15.2,34.43,8.21,8.1,0.34,0.8,1.6,37.5,39.9,223,12,16.1,241.8,7.8,0.41
Jeju,Sungsanpo,CJ2607,2014,5,2014-05-29,16,8,17.13,34.24,8.15,8.17,0.44,17.7,2.7,25.6,46,189.6,5.4,8.5,202.7,4.9,0.98
Jeju,Sungsanpo,CJ2607,2014,8,2014-08-13,15,9,21.86,32.65,8.2,7.37,0.84,1.9,0.4,26.9,29.3,259.3,2.7,6.4,275.5,7.4,1.91
Jeju,Sungsanpo,CJ2607,2014,11,2014-11-19,16,10,17.72,32.66,8.16,8.36,0.93,4.1,4.9,46.9,55.8,245.3,3.3,10.3,237.9,4.2,0.64
Jeju,Sungsanpo,CJ2607,2015,2,2015-02-10,20,6,14.53,34.39,8.2,8.33,0.35,12.3,4.2,77.4,93.8,217.2,10.3,14.2,248.8,4.9,0.9
Jeju,Sungsanpo,CJ2607,2015,5,2015-05-27,16.4,7.1,16.59,33.53,8.18,7.46,0.95,4.5,1.9,29.7,36.1,211.6,4.8,11.8,285.5,2.7,0.97
Jeju,Sungsanpo,CJ2607,2015,8,2015-08-20,15,11,20.29,33.11,8.13,6.91,0.84,37.7,4.6,66.3,108.6,239.6,8.7,11.9,239.6,1.9,0.94
Jeju,Sungsanpo,CJ2607,2015,11,2015-11-04,16,10,19.75,33.1,8.15,6.91,1.17,6.5,4.1,51.9,62.5,279.2,6.6,14,279.6,2.2,0.55
Jeju,Sungsanpo,CJ2607,2016,2,2016-02-25,14,7.5,14.25,34.44,8.27,8.7,0.9,10.9,2.6,71.7,85.2,269.4,9.3,9.8,247,2.1,0.2
Jeju,Sungsanpo,CJ2607,2016,5,2016-05-11,15,6.5,16.2,34.23,8.18,9.48,0.7,31.6,1.9,13,46.5,104.6,1,11.5,220.8,4.6,1.9
Jeju,Sungsanpo,CJ2607,2016,8,2016-08-18,19,5.5,21.23,31.73,8.23,6.96,1,12.9,2,60.3,75.2,213.4,5.7,17.5,259.1,6.3,0.73
Jeju,Sungsanpo,CJ2607,2016,11,2016-11-10,15,15,20.4,34.1,8.23,7.3,0.69,7.5,2.6,36.8,46.9,150.8,5,12.1,165,2.6,1.33
Jeju,Sungsanpo,CJ2607,2017,2,2017-02-26,18,10.5,13.74,34.56,8.2,9.24,0.89,3.56,1.27,55.72,60.55,173.88,8.34,16.18,206.7,2.8,0.08
Jeju,Sungsanpo,CJ2607,2017,5,2017-05-14,17,17,15.48,34.05,8.19,8.58,0.73,0.15,4.3,42.18,46.63,167.5,6.26,16.8,183.18,2.5,0.05
Jeju,Sungsanpo,CJ2607,2017,8,2017-08-17,16,11,17.9,33.62,8,6.41,0.67,2.3,5.91,88.49,96.71,170.51,16.4,18.26,341.66,1.6,0.08
Jeju,Sungsanpo,CJ2607,2017,11,2017-11-01,18,12,21.18,33.85,8.17,7.49,1.54,3.01,2.45,44.11,49.57,138.77,13.52,14.77,199.19,0.55,0.29
Jeju,Sungsanpo,CJ2607,2018,2,2018-02-25,18,10,13.37,34.51,8.27,9.08,0.72,7.53,2.83,65.8,76.16,168.88,18.97,20.54,247.6,4.05,0.32
Jeju,Sungsanpo,CJ2607,2018,5,2018-05-11,21,9.5,16.24,34.35,8.31,8.08,2.25,3.37,1.61,13.99,18.97,121.2,2.11,16.93,105.22,15.7,0.04
Jeju,Sungsanpo,CJ2607,2018,8,2018-08-30,17,6.7,19.38,33.11,8.23,6.71,1.74,5.56,3.4,58.2,67.16,232.13,6.8,19.34,215.04,5,0.03
Jeju,Sungsanpo,CJ2607,2018,11,2018-11-15,16,11,19.53,33.82,7.74,7.41,0.74,3.18,6.71,37.42,47.31,128.17,5.21,11.5,152.94,4.04,0.18
Jeju,Sungsanpo,CJ2607,2019,2,2019-02-27,16,7.1,14.76,34.42,8.23,9.34,2.51,4.41,3.96,59.53,67.9,104.1,10.82,13.64,213.05,4,0.52
Jeju,Sungsanpo,CJ2607,2019,5,2019-05-08,16,9.3,16.45,34.35,8.18,10.44,0.91,10.43,3.98,42.42,56.83,103.7,8.37,14.29,191.21,9.85,0.06
Jeju,Sungsanpo,CJ2607,2019,8,2019-08-13,16,10,26.44,31.36,8.22,7.36,3.77,4.24,1.12,1.66,7.03,133.71,3.04,10.66,306.04,8.25,0.2
